StudentId,DiasSemUso,TotalSessoes,TotalGasto
71558482,202,1,0.00
29399735,51,4,0.00
39001757,8,24,0.00
61260787,102,18,0.00
89311242,58,4,0.00
90814187,1,11,0.00
98318472,80,4,0.00
29784,204,1,0.00
78335913,178,2,0.00
43976636,163,4,0.00
37355157,188,2,0.00
30439584,12,69,0.00
36592700,38,2,0.00
60678232,85,4,0.00
3734633,33,5,0.00
32090758,14,14,0.00
24089248,17,27,0.00
5237824,6,18,0.00
82848924,77,3,0.00
36860050,193,4,0.00
24213773,56,11,0.00
42078023,74,3,0.00
5975103,188,3,0.00
83170423,0,82,209.30
72103470,176,2,0.00
58183293,75,7,0.00
66391956,16,3,0.00
76016116,27,12,0.00
3503284,16,2,0.00
27498666,126,2,0.00
66446105,41,6,0.00
44461318,22,17,0.00
78455034,28,6,0.00
47242737,202,2,0.00
17524789,8,17,0.00
59752100,58,4,0.00
55845534,211,1,0.00
89096060,100,10,0.00
322988,5,11,0.00
54012783,192,1,0.00
23579279,6,9,0.00
46051788,192,1,0.00
50961051,207,2,0.00
10082513,51,2,0.00
87293262,0,76,209.30
9027665,191,1,0.00
62170354,15,14,0.00
3590978,192,6,0.00
18378793,191,2,0.00
53017580,74,6,0.00
32793739,29,10,0.00
91468592,183,5,0.00
32306939,35,14,0.00
67683311,13,13,0.00
68154053,199,1,0.00
16842718,2,49,0.00
93980543,192,4,0.00
43805991,197,1,0.00
44758529,16,9,0.00
48642897,8,29,0.00
89078081,155,11,0.00
26286054,23,7,0.00
94295885,167,10,0.00
25481685,20,11,0.00
50740356,195,1,0.00
79063766,192,2,0.00
96633644,204,1,0.00
99399251,11,10,89.70
49006308,193,6,0.00
13383327,2,5,0.00
25942494,63,2,0.00
43499660,207,1,0.00
99228099,180,2,0.00
27711730,182,3,0.00
38136990,22,10,0.00
54730288,184,2,0.00
87578929,15,18,0.00
29403190,54,9,0.00
26074327,193,1,0.00
64825851,22,6,0.00
19383608,4,8,0.00
92394478,93,21,0.00
40304104,194,2,0.00
42993086,192,1,0.00
35821369,50,65,0.00
20546262,195,1,0.00
19702328,4,15,0.00
26485501,7,3,0.00
43561363,192,3,0.00
4417348,1,14,0.00
47395420,163,4,0.00
12827745,25,19,0.00
39828771,182,42,59.80
44259263,192,2,0.00
53652320,66,9,0.00
32543538,24,7,0.00
74813345,185,1,0.00
38650534,135,2,0.00
21819578,77,6,0.00
68695357,184,1,0.00
80114406,166,3,0.00
66992152,9,130,209.30
44947889,1,18,0.00
52847596,176,3,0.00
95166056,196,1,0.00
44823610,51,15,0.00
44805708,39,6,0.00
33214033,190,2,0.00
52179328,17,4,0.00
50289803,9,196,0.00
36299250,196,1,0.00
17191943,10,4,0.00
4637874,9,11,0.00
65660004,126,8,0.00
42461869,203,2,0.00
89520284,22,5,0.00
90466834,21,28,0.00
56230024,121,13,0.00
16446051,28,3,0.00
24147556,25,9,0.00
93467457,7,22,0.00
44746647,34,16,0.00
61986244,205,1,0.00
67125628,21,11,0.00
3557264,33,35,0.00
24694356,192,1,0.00
37894065,2,27,0.00
62082491,189,1,0.00
70030190,50,9,0.00
66139436,7,4,0.00
27377902,168,35,0.00
65590764,192,1,0.00
23255739,204,2,0.00
4897364,191,1,0.00
30836895,190,1,0.00
30529903,189,1,0.00
63513969,50,12,0.00
19765319,4,25,0.00
65984314,3,6,0.00
92805575,0,45,59.80
68305677,182,1,0.00
10542077,5,16,0.00
39715146,7,17,0.00
32616479,190,1,0.00
42930630,194,5,0.00
98210191,124,4,0.00
77502633,198,3,0.00
29411786,207,1,0.00
33128228,164,37,29.90
36151098,1,4,0.00
50868030,119,3,0.00
13695569,1,34,0.00
90823029,1,27,0.00
38844992,187,1,0.00
22314161,204,1,0.00
69438547,184,1,0.00
63162915,22,9,0.00
88229879,95,3,0.00
87999131,175,3,0.00
55565211,3,8,0.00
49691190,15,15,0.00
75078425,135,3,0.00
82108130,133,4,0.00
40100990,104,4,0.00
848600,1,85,0.00
55569479,192,4,0.00
30848471,184,6,0.00
67369595,7,47,0.00
30398900,51,6,0.00
83039420,54,7,0.00
77758024,22,13,0.00
11842492,23,14,0.00
66925935,48,11,0.00
90775146,190,1,0.00
29638790,30,2,0.00
36767504,0,5,0.00
36789980,5,44,29.90
23129894,8,13,0.00
51222353,191,3,0.00
82600197,199,1,0.00
53436783,7,8,0.00
65263125,17,13,0.00
94753425,18,8,0.00
53578380,142,3,0.00
25796798,197,1,0.00
56275500,188,3,0.00
4780470,205,1,0.00
69569152,5,2,0.00
72733696,191,3,0.00
64648897,192,3,0.00
30197472,197,1,0.00
3120345,28,5,0.00
52759149,51,10,0.00
9748362,0,29,0.00
60644043,27,18,0.00
66585721,203,1,0.00
1887527,193,1,0.00
49244736,192,2,0.00
8708513,17,12,0.00
22236417,207,2,0.00
26021990,1,25,29.90
60191678,37,11,0.00
81306921,191,10,0.00
31643643,57,3,0.00
16786697,10,10,0.00
52474235,192,4,0.00
85629699,32,3,0.00
64145592,184,3,0.00
7250045,21,7,0.00
88457052,57,2,0.00
46877116,25,4,0.00
31670049,188,2,0.00
43128205,13,3,0.00
6173889,202,6,0.00
5448017,183,1,0.00
57232458,190,2,0.00
39538192,51,5,0.00
10719615,62,12,0.00
1029195,92,3,0.00
66792645,171,12,0.00
79762817,63,5,0.00
68628387,9,11,0.00
7145142,185,4,0.00
67050738,66,2,0.00
38115802,6,36,0.00
20943141,191,3,0.00
26253339,196,1,0.00
89917501,15,8,0.00
29956714,7,15,59.80
99504678,205,1,0.00
46393662,174,2,0.00
67327099,18,8,0.00
89095874,111,6,0.00
37729085,46,3,0.00
61002880,207,1,0.00
15333387,6,18,0.00
96651606,190,4,0.00
35192202,1,23,0.00
99415418,45,13,0.00
3621761,17,9,0.00
177521,0,31,0.00
65374583,50,27,0.00
6450004,197,1,0.00
42657386,17,6,0.00
47804934,20,5,0.00
60873580,175,3,0.00
16427090,184,1,0.00
11982692,187,5,0.00
63489206,201,3,0.00
69349101,192,1,0.00
98217499,16,7,0.00
48964980,181,3,0.00
22514590,55,3,0.00
19519277,8,30,0.00
30261462,28,12,0.00
25812839,2,238,0.00
32007747,10,30,0.00
74448614,97,2,0.00
1045422,7,20,0.00
67491833,39,5,0.00
70978738,183,17,0.00
60725225,197,2,0.00
31810129,33,6,0.00
71022920,5,11,0.00
64886538,42,5,0.00
47442582,183,9,29.90
74046620,13,52,0.00
46052263,197,2,0.00
53293881,15,37,0.00
3638097,71,93,0.00
65424633,60,2,0.00
3176060,62,5,0.00
8731988,43,11,0.00
74185778,164,7,0.00
22253228,18,2,0.00
79765350,196,1,0.00
41296834,23,4,0.00
41639707,148,5,0.00
21464654,21,15,0.00
63604474,185,4,0.00
9469665,206,3,0.00
72746577,55,6,0.00
68034534,0,36,23.90
274352,160,3,0.00
71155583,37,5,0.00
80566018,195,7,0.00
85898200,211,1,0.00
6207036,15,22,0.00
22782922,70,2,0.00
99091692,51,4,0.00
28717942,185,1,0.00
87452560,12,37,0.00
57045096,16,5,0.00
724338,4,11,0.00
1001452,205,1,0.00
92987856,99,9,0.00
67729414,184,1,0.00
88148282,3,48,0.00
70662042,188,1,0.00
4376664,134,25,0.00
40601653,210,2,0.00
36819781,186,1,0.00
46508973,193,3,0.00
53428923,58,2,0.00
25961575,3,66,0.00
96688268,4,6,0.00
31009810,201,1,0.00
54246774,197,2,0.00
23456643,91,4,0.00
14117337,205,2,0.00
20870048,92,14,0.00
15783170,57,31,0.00
72508902,41,3,0.00
62826308,10,23,0.00
90140314,192,2,0.00
77453336,6,38,0.00
39791788,15,20,0.00
79172124,196,1,0.00
40097120,185,9,0.00
23782333,2,5,0.00
74173312,47,10,0.00
78713356,2,95,0.00
56291836,61,19,0.00
23305849,196,1,0.00
20823224,163,17,0.00
60345741,41,3,0.00
99539926,44,3,0.00
31112306,17,7,0.00
40461393,37,16,0.00
81009203,197,1,0.00
50584710,188,4,0.00
59091844,1,51,0.00
42070715,195,1,0.00
22452904,175,4,0.00
34128326,26,5,0.00
58942481,134,2,0.00
76630667,42,2,0.00
51835490,86,8,0.00
47032653,7,27,0.00
72053082,199,3,0.00
93387792,30,12,0.00
4627449,190,2,0.00
9674379,45,19,0.00
59360133,183,1,0.00
97806860,38,11,209.30
41256565,183,2,0.00
70309886,66,5,0.00
51339891,199,1,0.00
80240497,188,3,0.00
17360530,200,3,0.00
14547930,192,1,0.00
25574952,197,2,0.00
86455485,2,5,0.00
98926036,58,6,0.00
39718263,29,22,0.00
79213146,182,1,0.00
53326384,138,4,0.00
65867065,199,1,0.00
97935516,35,17,0.00
45824953,44,3,0.00
64446748,11,20,0.00
15708128,45,6,0.00
67512191,51,9,0.00
91304797,169,13,0.00
27635809,37,5,0.00
29917842,0,8,0.00
78066768,15,16,0.00
12733851,180,11,0.00
36626846,169,5,0.00
90566290,199,1,0.00
48581964,0,3,0.00
91906739,188,2,0.00
16030915,56,4,0.00
74375487,203,2,0.00
16481027,158,3,0.00
33661437,179,3,0.00
86055440,21,16,0.00
88301947,185,1,0.00
45945531,202,1,0.00
93476299,7,38,0.00
15126277,185,1,0.00
81188816,171,4,0.00
16729110,197,7,0.00
85913079,203,2,0.00
95415934,1,52,0.00
3411136,23,12,0.00
21602186,185,1,0.00
51253900,122,4,0.00
48089356,185,1,0.00
57319153,6,9,0.00
41596321,207,1,0.00
92049979,201,1,0.00
51314086,206,1,0.00
79690139,63,2,0.00
18685107,31,14,0.00
42768724,2,30,0.00
51145161,93,4,0.00
15489923,23,4,0.00
79983758,185,2,0.00
53274090,51,5,0.00
48865404,32,18,0.00
78157671,4,9,0.00
77762767,6,8,0.00
33112934,0,32,0.00
18091068,202,1,0.00
81454048,188,1,0.00
85332980,203,1,0.00
57571581,9,9,0.00
47616453,149,4,0.00
82562799,30,21,0.00
31081878,78,4,0.00
92123902,22,2,0.00
14918157,204,1,0.00
978578,198,1,0.00
26092306,104,9,0.00
88465038,148,6,0.00
82466841,1,26,0.00
2161252,72,8,0.00
15556538,185,3,0.00
19795873,79,2,0.00
38023551,68,11,0.00
57239657,48,2,0.00
31892124,193,1,0.00
58668925,177,4,0.00
14508660,0,111,0.00
52960348,17,7,0.00
90840407,193,5,0.00
13416686,41,11,0.00
25029014,50,9,0.00
64146219,108,2,0.00
22088139,81,22,0.00
78908103,17,11,0.00
33016120,190,2,0.00
65238193,196,2,0.00
51654131,35,6,0.00
48339792,199,1,0.00
5498187,190,4,0.00
10713661,207,12,0.00
76199659,6,2,0.00
14383256,184,1,0.00
55702480,182,1,0.00
48814000,198,4,0.00
90078027,184,1,0.00
79319692,200,1,0.00
27364394,203,1,0.00
57390282,9,15,0.00
23743309,6,26,0.00
35423262,8,4,0.00
59865201,203,4,0.00
28588685,0,2,0.00
82462988,190,3,0.00
91455422,206,1,0.00
64553938,182,3,0.00
17452034,167,3,0.00
70541066,74,2,0.00
8826701,190,8,0.00
54068558,192,2,0.00
22381071,76,3,0.00
37483077,197,2,0.00
6904733,101,7,0.00
82185213,188,2,0.00
79120557,210,1,0.00
89226359,191,3,0.00
82568295,38,6,0.00
26856990,34,57,0.00
91412139,67,4,149.50
24846149,186,4,0.00
56774139,17,11,0.00
33501632,22,19,0.00
73804465,1,10,0.00
49135150,5,24,0.00
97062322,203,1,0.00
71723740,176,2,0.00
97896246,35,19,0.00
23007596,193,1,0.00
1741891,9,3,0.00
50036502,178,5,0.00
7751249,199,1,0.00
46137086,186,1,0.00
63232527,196,3,0.00
74659637,36,5,0.00
60288366,27,7,0.00
69200179,2,17,29.90
66387333,2,15,0.00
9945293,38,2,0.00
96932481,182,1,0.00
47692019,8,12,0.00
71642950,8,13,0.00
10068759,156,2,0.00
51521250,10,6,0.00
98064189,191,2,0.00
29127762,194,1,0.00
37671438,8,33,0.00
32757263,20,5,0.00
81532173,203,1,0.00
29121333,9,21,0.00
17267695,1,7,0.00
2518626,1,14,0.00
3614267,87,2,0.00
36878951,3,59,0.00
84263133,192,2,0.00
98635440,211,2,0.00
27948008,0,89,29.90
94202586,1,10,0.00
74619597,190,2,0.00
79457436,86,24,0.00
25968840,185,1,0.00
2001922,7,46,0.00
94019126,37,5,0.00
97316190,70,8,0.00
4961735,16,12,0.00
3723378,183,1,0.00
46812144,184,1,0.00
71381986,4,14,0.00
44614459,104,44,0.00
62490362,185,7,0.00
82864201,177,4,0.00
41772227,210,1,0.00
97705827,52,3,0.00
14993631,188,6,0.00
88473820,0,113,23.90
28423782,202,1,0.00
45470172,14,13,0.00
75882259,4,58,0.00
2965867,3,28,0.00
36086584,30,16,0.00
49039776,189,1,0.00
32573754,15,10,0.00
26178695,19,3,0.00
65315336,4,5,0.00
98166095,184,1,0.00
52988025,178,5,0.00
96418522,28,14,0.00
63389504,0,60,29.90
89632681,107,2,0.00
9205415,182,1,0.00
81073379,96,54,0.00
90332562,194,1,0.00
43351153,25,2,0.00
45492817,84,5,0.00
51985852,1,40,0.00
81730790,24,6,0.00
52899475,182,3,0.00
16842761,207,1,0.00
231561,194,3,0.00
99270950,5,20,0.00
92125256,183,1,0.00
71087892,208,2,0.00
51077072,181,8,0.00
39632398,186,1,0.00
90815873,34,15,0.00
35176330,165,7,0.00
61317409,17,15,0.00
54738638,16,10,0.00
19884151,80,5,0.00
88426684,34,2,0.00
33111537,25,34,119.60
63101627,206,1,0.00
33052476,77,7,0.00
84361083,3,39,0.00
32379880,2,57,0.00
58840721,161,4,0.00
62291948,8,18,0.00
3021582,5,8,0.00
90893056,34,2,0.00
86640451,1,9,0.00
73793811,3,10,0.00
15671188,6,50,0.00
80113161,52,8,0.00
19944102,182,42,0.00
50201820,11,45,0.00
85741080,199,1,0.00
91034882,7,3,0.00
63081361,120,2,0.00
69982825,47,11,0.00
90631949,192,1,0.00
765065,178,2,0.00
8108732,184,3,0.00
14429164,191,2,0.00
89370429,185,1,0.00
52168794,25,8,0.00
71824587,192,3,0.00
51270193,186,1,0.00
28874647,186,1,0.00
79528150,206,1,0.00
68782009,173,2,0.00
12758554,1,6,0.00
25019293,9,2,0.00
2870831,75,5,0.00
76767733,3,27,0.00
25847907,1,27,0.00
6685163,83,7,0.00
70947185,211,1,0.00
72790513,193,1,0.00
31106607,164,6,0.00
20405369,122,4,0.00
84880641,71,2,0.00
33072791,8,8,0.00
22742670,10,8,0.00
34796016,204,2,0.00
97843674,1,36,0.00
50185959,48,2,0.00
34794095,16,15,0.00
82729514,188,1,0.00
77163816,160,10,0.00
97160822,59,5,0.00
54732312,56,12,0.00
53156323,59,3,0.00
62599015,28,53,0.00
23730285,200,1,0.00
4393770,205,2,0.00
46336642,187,4,0.00
32451636,63,6,0.00
16588435,3,22,0.00
14168996,10,23,0.00
87751735,193,1,0.00
30993703,23,26,29.90
48330274,204,1,0.00
57410199,5,37,29.90
83812039,183,1,0.00
62293116,51,9,0.00
59537207,10,16,0.00
4179292,35,4,0.00
596790,199,1,0.00
38106834,184,1,0.00
94754281,43,9,0.00
72419702,204,1,0.00
51158254,188,2,0.00
92860013,185,1,0.00
12377487,202,1,0.00
90470644,31,12,0.00
68714149,42,7,0.00
48333646,56,5,0.00
66046644,162,2,0.00
19482337,210,1,0.00
39144871,7,9,209.30
14212966,4,12,0.00
76745858,1,21,0.00
65127210,190,4,0.00
37910215,118,9,0.00
56852035,205,1,0.00
21078632,18,8,0.00
90458882,197,6,0.00
74458252,2,114,0.00
41982377,1,32,0.00
96470138,15,17,0.00
32029241,185,1,0.00
44506456,191,6,0.00
53810957,12,53,0.00
48311465,184,1,0.00
39470475,189,1,0.00
94564987,4,20,0.00
11904653,5,26,0.00
55479864,2,9,0.00
33954581,208,2,0.00
5742586,14,18,0.00
43387449,177,6,0.00
54513403,181,15,0.00
90073911,188,1,0.00
75464693,209,1,0.00
11252552,178,3,0.00
27871993,21,4,0.00
46532202,3,7,0.00
64343090,113,6,0.00
47516877,186,1,0.00
54579663,165,3,0.00
87882280,10,8,0.00
83275478,29,11,0.00
80593701,51,5,0.00
16736292,0,13,0.00
27883079,182,5,0.00
5245006,1,3,0.00
49606902,206,1,0.00
42097061,176,6,0.00
44861211,196,1,0.00
9262747,58,5,0.00
2946643,172,5,0.00
69335178,2,72,0.00
73752772,53,2,0.00
20708016,2,6,0.00
39177434,193,4,0.00
74905848,190,1,0.00
46769505,191,5,0.00
63020548,184,1,0.00
96050156,2,4,0.00
50488818,194,1,0.00
31826153,24,9,0.00
74588170,2,95,0.00
51812997,181,4,0.00
16265473,3,9,0.00
31590536,187,3,0.00
46787272,6,32,0.00
10067700,167,6,0.00
17332083,0,10,0.00
20440606,183,1,0.00
40329222,35,35,0.00
41789130,32,3,0.00
54083268,8,4,0.00
98007644,206,1,0.00
38193409,178,5,0.00
64131128,89,2,0.00
18484804,2,10,0.00
9464939,186,6,0.00
13881992,6,12,0.00
54149757,164,4,0.00
54043626,61,7,0.00
91273888,2,40,0.00
77656424,26,505,0.00
45565938,122,3,0.00
23418458,2,17,0.00
29973339,24,6,0.00
66049160,204,1,0.00
82260169,196,2,0.00
56786190,93,7,0.00
94367412,187,1,0.00
57070443,183,19,0.00
84720504,193,4,0.00
43585439,179,5,0.00
62150503,196,2,0.00
15398588,198,1,0.00
12507076,38,16,0.00
19783298,191,2,0.00
16288948,95,5,0.00
30930085,197,2,0.00
32041707,199,2,0.00
88692855,185,2,0.00
81467267,10,5,0.00
74764497,182,8,0.00
76878106,197,1,0.00
71113485,10,13,0.00
11572746,175,5,0.00
55102301,15,3,0.00
45932312,10,15,0.00
94700487,112,7,0.00
89865994,2,117,0.00
53940546,8,4,0.00
57898980,1,18,0.00
91573790,191,2,0.00
74318298,178,6,0.00
44832240,0,8,0.00
16825738,184,2,0.00
91430762,207,3,0.00
59758672,2,14,0.00
68425044,183,7,0.00
66033660,29,4,0.00
53356517,76,3,0.00
18256048,45,4,0.00
24455241,114,3,0.00
1872436,0,26,0.00
37354530,39,3,0.00
69133793,196,2,0.00
15492236,182,20,0.00
93510554,175,2,0.00
39880922,0,10,0.00
11450880,187,2,0.00
74032462,19,10,0.00
99666475,14,20,0.00
55709052,1,29,0.00
7230821,186,1,0.00
84134766,10,64,0.00
73153509,91,6,0.00
81564828,140,6,0.00
26657526,170,6,0.00
81763445,171,7,0.00
98403295,188,2,0.00
34842605,22,15,0.00
93388562,40,6,0.00
74244212,195,3,0.00
35677070,175,6,0.00
41404691,44,11,0.00
80541381,196,3,0.00
25083867,22,13,0.00
65727744,140,7,0.00
83400527,26,13,0.00
75847360,207,1,0.00
51641124,80,12,0.00
49791061,185,4,0.00
76219450,196,1,0.00
30292262,195,3,0.00
34019281,1,35,0.00
89167069,199,3,0.00
65935535,53,12,0.00
73843778,36,2,0.00
90486897,7,98,0.00
14772063,5,170,0.00
58358807,23,23,0.00
87734509,6,5,0.00
22724817,138,6,0.00
92194387,10,32,0.00
62062869,191,2,0.00
66484791,199,2,0.00
83520527,210,1,209.30
32613685,99,2,0.00
53481904,139,24,0.00
6316147,169,2,0.00
79566029,184,4,0.00
35564487,202,1,0.00
4614906,0,22,59.80
90496847,5,23,0.00
25020335,128,9,0.00
6301148,209,1,0.00
39325652,7,131,0.00
8012425,43,10,0.00
88436617,24,4,0.00
8887465,192,2,0.00
6257484,155,3,0.00
39016341,2,18,0.00
49180915,35,3,0.00
32704173,20,13,0.00
71236519,182,1,0.00
63456179,195,2,0.00
96309225,115,3,0.00
22004856,189,2,0.00
73380596,196,4,0.00
18855311,29,4,0.00
76938149,0,71,0.00
80088627,185,5,0.00
57765667,192,4,0.00
42633310,6,23,0.00
96718762,199,1,0.00
55242255,175,2,0.00
69139415,88,3,0.00
47493293,205,1,0.00
38846569,184,1,0.00
69187381,1,33,89.70
24451059,6,18,0.00
14385964,7,23,0.00
58899696,2,30,0.00
62794357,4,20,0.00
73951177,44,4,0.00
50852235,0,89,0.00
18888965,1,9,0.00
94136790,1,5,0.00
16692803,207,3,0.00
35820413,5,36,0.00
77286020,170,8,0.00
46590155,184,3,0.00
5496189,29,21,0.00
6924006,72,15,0.00
55471463,33,7,0.00
30909109,181,2,0.00
43146462,196,1,0.00
58878448,56,6,0.00
63207120,3,29,0.00
49271337,32,14,0.00
53485064,198,1,0.00
72353468,185,2,0.00
40157621,12,8,0.00
379321,196,1,0.00
97367757,62,10,0.00
10970466,209,1,0.00
58796058,26,14,0.00
2276268,82,6,0.00
32600492,7,35,0.00
38742539,207,1,0.00
17342050,6,7,0.00
74859914,177,2,0.00
20350719,163,8,0.00
53958531,183,1,0.00
60683187,28,5,0.00
63923151,2,29,0.00
32109922,4,11,0.00
60388509,8,2,0.00
1364660,209,1,0.00
72781645,22,4,0.00
41622100,23,17,0.00
50027093,176,5,0.00
79799920,24,5,0.00
31613756,168,5,0.00
84560530,2,28,0.00
68407506,174,12,0.00
52576327,10,3,0.00
59716371,145,2,0.00
85876680,190,8,0.00
3541240,199,2,0.00
75111014,185,2,0.00
57986860,6,24,0.00
78963371,18,2,0.00
40178723,179,5,0.00
98750522,199,6,0.00
77665621,203,2,0.00
81296808,4,16,0.00
20943530,0,85,0.00
79053713,2,9,0.00
49110948,167,5,0.00
86979743,8,2,0.00
34878967,202,1,0.00
89776691,36,5,0.00
64988009,9,8,0.00
93240911,37,2,0.00
68158272,42,8,0.00
55677150,195,1,0.00
34545554,2,10,0.00
23034503,189,1,0.00
35579807,86,2,0.00
4675584,10,4,0.00
67911171,188,1,0.00
43283768,16,3,0.00
75227433,2,10,179.40
57555397,176,2,0.00
3533832,6,66,29.90
89676362,10,5,0.00
48321186,206,2,0.00
52054084,24,9,0.00
58722227,121,3,0.00
74489762,56,6,0.00
22948283,186,3,0.00
15741647,196,2,0.00
56029976,4,9,0.00
37485390,6,44,29.90
14041482,24,17,0.00
23322311,100,19,0.00
25049466,186,5,0.00
74203528,64,26,0.00
83225013,181,4,0.00
39870013,191,1,0.00
97562106,192,2,0.00
35814694,35,2,0.00
93144266,174,3,0.00
91410218,46,26,0.00
28630680,102,4,0.00
90224596,14,20,0.00
17301343,0,59,0.00
20266540,174,2,0.00
31303741,16,4,0.00
3245709,18,3,0.00
60317065,100,3,0.00
7467520,35,4,0.00
52661757,179,3,0.00
3557705,192,2,0.00
20570899,28,5,0.00
24434517,92,2,0.00
99899619,20,9,0.00
44898380,1,4,0.00
46645947,99,48,0.00
33772343,1,23,0.00
10986464,198,1,0.00
32768435,2,7,0.00
8302978,11,9,0.00
57913896,193,3,0.00
44956459,0,7,0.00
50103111,97,6,0.00
19172797,66,20,0.00
77700901,189,1,0.00
49925934,54,29,0.00
27752288,197,1,0.00
71057753,4,9,0.00
57287955,149,11,0.00
96907701,6,16,0.00
26545687,5,8,0.00
94060726,8,23,0.00
46224786,183,2,0.00
52994809,59,16,0.00
98281369,207,4,0.00
48311176,207,1,0.00
2408539,191,1,0.00
57824184,88,6,0.00
16403867,203,1,0.00
73703678,176,7,0.00
26129415,201,1,0.00
86612047,9,10,0.00
80941426,46,11,0.00
67367657,173,4,0.00
38535309,185,2,0.00
16514621,0,159,0.00
23208686,12,5,0.00
42698611,188,10,0.00
85504547,182,1,0.00
46059299,174,5,0.00
54176186,33,6,0.00
87338978,197,1,0.00
42198100,198,2,0.00
89745848,25,28,0.00
42169713,185,7,0.00
59613669,170,3,0.00
52733845,184,1,0.00
9341161,181,5,0.00
46403191,206,1,0.00
6964421,192,5,0.00
44078067,50,8,0.00
64088260,91,5,0.00
42150337,0,17,0.00
36107646,15,3,0.00
17045085,8,25,0.00
92154413,208,2,0.00
48625605,184,1,0.00
9542480,184,1,0.00
98549111,77,5,0.00
35955286,19,6,0.00
16622066,196,1,0.00
28702960,45,10,0.00
22979541,45,17,0.00
74254806,180,4,0.00
1259502,102,3,0.00
57605132,12,10,0.00
57378712,19,13,0.00
32469572,3,88,0.00
44742176,4,19,0.00
18484094,155,2,0.00
52514893,197,1,0.00
74095001,9,15,0.00
2560146,177,7,0.00
46564393,195,1,0.00
7576047,3,46,0.00
88054780,36,6,0.00
72225811,199,1,0.00
21257544,10,13,0.00
49956210,162,33,0.00
4216733,0,18,0.00
4227802,166,6,0.00
80687907,184,2,0.00
95768528,20,5,0.00
73576488,189,17,0.00
23500324,209,1,0.00
33968189,104,6,0.00
17085162,197,3,0.00
31749113,192,1,0.00
75677479,191,1,0.00
78916630,205,1,0.00
54075419,7,18,29.90
80905877,36,30,0.00
89748888,19,3,0.00
47887928,24,13,0.00
68400951,191,1,0.00
11732087,206,1,0.00
86696870,0,15,0.00
95317085,48,10,0.00
72642673,105,16,0.00
69928092,194,2,0.00
49593005,193,1,0.00
83906500,25,9,0.00
70609848,184,5,0.00
68558629,186,1,0.00
37183487,54,8,0.00
30435021,33,2,0.00
38130953,178,3,0.00
59732784,211,2,0.00
35274160,201,3,0.00
79100225,0,3,0.00
14572507,182,2,0.00
12086808,182,1,0.00
20920164,133,18,0.00
21597775,196,1,0.00
17404068,13,6,0.00
84347644,42,5,0.00
64767145,22,2,0.00
17925326,191,5,0.00
51458511,98,5,0.00
93750187,191,2,0.00
94864866,10,103,0.00
41356708,84,9,0.00
71467705,176,2,0.00
10500646,58,9,0.00
44539105,2,28,0.00
8187879,199,4,0.00
85493057,124,4,0.00
78215083,196,1,0.00
61634191,168,138,0.00
81618416,188,1,0.00
91606385,181,2,0.00
74237013,184,6,0.00
8760833,43,11,0.00
69309848,5,16,0.00
24844277,188,98,0.00
15743250,20,3,0.00
67432798,52,10,0.00
74506321,17,7,0.00
64712100,151,11,0.00
44516984,195,1,0.00
1016646,186,2,0.00
65306139,99,4,0.00
94345978,90,3,0.00
17450594,79,3,0.00
31125459,9,10,0.00
75691797,185,1,0.00
70794147,185,1,0.00
88267944,121,5,0.00
57980305,184,1,0.00
4693317,87,8,0.00
67794091,201,2,0.00
